Potential (V),Current (µA)
-0.169768,1.6799928e-05
-0.167619,0.0
-0.16547,5.5999750000000005e-06
-0.163321,1.6799928e-05
-0.16117199999999998,5.5999750000000005e-06
-0.159023,0.0
-0.15687399999999999,1.1199951000000002e-05
-0.154725,1.6799928e-05
-0.152576,0.0
-0.150427,5.5999750000000005e-06
-0.148278,1.6799928e-05
-0.14612899999999998,5.5999750000000005e-06
-0.14398,0.0
-0.14183099999999998,1.1199951000000002e-05
-0.139682,1.1199951000000002e-05
-0.137533,0.0
-0.135384,5.5999750000000005e-06
-0.133235,1.6799928e-05
-0.13108599999999998,5.5999750000000005e-06
-0.128937,0.0
-0.12678799999999998,1.1199951000000002e-05
-0.124639,1.6799928e-05
-0.12248999999999999,0.0
-0.12034099999999999,5.5999750000000005e-06
-0.11819199999999999,1.6799928e-05
-0.116043,1.1199951000000002e-05
-0.113894,0.0
-0.111746,1.1199951000000002e-05
-0.109597,1.6799928e-05
-0.107448,0.0
-0.10529899999999999,5.5999750000000005e-06
-0.10314999999999999,1.6799928e-05
-0.101001,1.1199951000000002e-05
-0.098852256,0.0
-0.09670329600000001,1.1199951000000002e-05
-0.094554336,1.6799928e-05
-0.092405368,0.0
-0.09025640800000001,5.5999750000000005e-06
-0.088107448,1.6799928e-05
-0.08595848,1.1199951000000002e-05
-0.08380952800000001,0.0
-0.08166056000000001,1.1199951000000002e-05
-0.0795116,1.6799928e-05
-0.077362632,0.0
-0.07521367200000001,0.0
-0.073064712,1.6799928e-05
-0.070915752,1.1199951000000002e-05
-0.068766784,0.0
-0.066617824,1.1199951000000002e-05
-0.06446886,1.6799928e-05
-0.062319900000000004,0.0
-0.060170940000000006,0.0
-0.058021976,1.6799928e-05
-0.055873016000000005,1.1199951000000002e-05
-0.053724056000000006,0.0
-0.051575092,1.1199951000000002e-05
-0.049426128,1.6799928e-05
-0.047277168,0.0
-0.045128204000000005,0.0
-0.04297924,1.6799928e-05
-0.040830280000000004,1.1199951000000002e-05
-0.038681316,0.0
-0.036532356,1.1199951000000002e-05
-0.034383392,1.6799928e-05
-0.03223443,0.0
-0.030085470000000003,0.0
-0.027936508000000002,1.6799928e-05
-0.025787546,1.1199951000000002e-05
-0.023638584,0.0
-0.02148962,1.1199951000000002e-05
-0.019340658,1.6799928e-05
-0.017191696,5.5999750000000005e-06
-0.015042735000000002,5.5999750000000005e-06
-0.012893773,1.6799928e-05
-0.01074481,1.1199951000000002e-05
-0.008595848,0.0
-0.006446886000000001,5.5999750000000005e-06
-0.004297924,1.6799928e-05
-0.002148962,5.5999750000000005e-06
0.0,0.0
0.002148962,1.6799928e-05
0.004297924,1.1199951000000002e-05
0.006446886000000001,0.0
0.008595848,1.1199951000000002e-05
0.01074481,1.6799928e-05
0.012893773,5.5999750000000005e-06
0.015042735000000002,0.0
0.017191696,1.6799928e-05
0.019340658,1.1199951000000002e-05
0.02148962,0.0
0.023638584,5.5999750000000005e-06
0.025787546,1.6799928e-05
0.027936508000000002,5.5999750000000005e-06
0.030085470000000003,0.0
0.03223443,1.6799928e-05
0.034383392,1.1199951000000002e-05
0.036532356,0.0
0.038681316,5.5999750000000005e-06
0.040830280000000004,1.6799928e-05
0.04297924,5.5999750000000005e-06
0.045128204000000005,0.0
0.047277168,1.6799928e-05
0.049426128,1.6799928e-05
0.051575092,0.0
0.053724056000000006,1.1199951000000002e-05
0.055873016000000005,1.6799928e-05
0.058021976,5.5999750000000005e-06
0.060170940000000006,0.0
0.062319900000000004,1.6799928e-05
0.06446886,1.6799928e-05
0.066617824,0.0
0.068766784,5.5999750000000005e-06
0.070915752,2.2399902000000004e-05
0.073064712,5.5999750000000005e-06
0.07521367200000001,0.0
0.077362632,1.1199951000000002e-05
0.0795116,1.6799928e-05
0.08166056000000001,0.0
0.08380952800000001,5.5999750000000005e-06
0.08595848,1.6799928e-05
0.088107448,5.5999750000000005e-06
0.09025640800000001,0.0
0.092405368,1.6799928e-05
0.094554336,1.1199951000000002e-05
0.09670329600000001,0.0
0.098852256,5.5999750000000005e-06
0.101001,1.6799928e-05
0.10314999999999999,5.5999750000000005e-06
0.10529899999999999,0.0
0.107448,1.6799928e-05
0.109597,1.6799928e-05
0.111746,0.0
0.113894,5.5999750000000005e-06
0.116043,1.6799928e-05
0.11819199999999999,5.5999750000000005e-06
0.12034099999999999,0.0
0.12248999999999999,1.6799928e-05
0.124639,1.6799928e-05
0.12678799999999998,5.5999750000000005e-06
0.128937,5.5999750000000005e-06
0.13108599999999998,1.6799928e-05
0.133235,5.5999750000000005e-06
0.135384,0.0
0.137533,1.6799928e-05
0.139682,1.6799928e-05
0.14183099999999998,5.5999750000000005e-06
